id	quote
19851209	Oh, Mary, you look ravishing in that skimpy negligee! Mmm ... darling, don't you wish we were married? But we are! ... or did you mean to each other? I've got to have you! Let's murder our spouses! Murder?! You sick animal! I love it when you talk that way! Come here! Sometimes I think I learn more when I stay home from school.
19851210	Mom, can I set fire to my bed mattress? No, Calvin. Can I ride my tricycle on the roof? No, Calvin. Then can I have a cookie? No, Calvin. She's on to me.
19851211	No, Mom! Don't put me to bed! I instructed Hobbes to messily devour anyone who brings me in before 9 p.m.! Your stuffed tiger is in the washing machine. Fine time to take a bath! Listen, just because you never take one ... 
19851212	Did you watch the movie on TV last night? Nope. Did you watch the game then? Nope. Did you watch any TV last night? Nope. Then what did you watch?
19851213	Insurance?? What a dumb idea! Why would anyone buy insurance from you?!? Thwping!
19851214	Hello, Dad! It is now three in the morning. Do you know where I am?
19851215	We join our hero Megazorks above the planet Gloob ... Spaceman Spiff, conqueror of the cosmos, is pursued by the hideous scum beings of planet Q-13! Spiff hyper-freem drive malfunctions! The aliens close in! suddenly, a searing bolt of deadly fram ray slices across the blackness! Our hero is unfazed. Another bolt! Spiff is hit!! Spiff is going down can he make it?? Is this the end?!? AAAAAA Spiff's alive! He made it!! I'm alive! Ha ha ha! I kiss the sweet ground! Maybe you should play on the swings, Calvin.
19851216	Calvin, are you going to take that stuffed tiger to school again? Sure. Don't the kids make fun of you? Tommy Chesnut did once, and now nobody does. Why, what happened to Tommy Chesnut? Hobbes ate him! Ugh! He needed a bath too ...
19851217	Calvin! What's all this noise?! You're supposed to be asleep! Monsters under the bed Dad! I was whacking one with my baseball bat! Goodness Calvin, it's just your stuffed tiger! You should put away your toys! Sorry, ol' buddy, good thing I missed occasionally, huh? Yeah, let me see your bat a minute.
19851218	Here comes the sports car at 200 miles per hour! Here comes the cement truck! Look out! And here comes an inflammable chemical truck! Oh no!! This ought to be good.
19851219	Calvin! What are you doing to our yard?!? Making speed bumps.
19851220	I wonder where we go when we die. Pittsburgh? You mean if we're good or if we're bad?
19851221	We're lost again. Ha! We're brave explorers! The word lost isn't even in our vocabulary! How about the word "Mommy"? Mommmyyy!!
19851222	There! Our fortress is completely indestructible! "Sunny and warmer today, high in the upper thirties ... " Our snow fort is impenetrable! At the slightest provocation, we'll let loose a merciless barrage of stinging ice!! None dare attack us! We rule all!! Together, a veritable fist of defiance, we stand immune to any onslaught! We are invincible!! We ... uh ... umm ... piff! 
19851223	Hey! Where's the stocking for Hobbes? Where's Santa gonna stick Hobbes' loot, if Hobbes doesn't have a stocking?!? Okay, okay ... I'll make Hobbes a stocking. Don't worry. Make it big, but not as big as mine. "...Hobbes' loot"?? don't look at me! I'm done shopping!
19851224	Are you still awake? Of course! It's midnight. Let's go! As soon as he drops the bag down, you grab it and I'll close the flue!
19851225	Uh, Hobbes? ... I forgot to get you a present. I didn't even make you a card ... I'm sorry Hobbes. I didn't mean to forget. It's okay, little buddy. I didn't get you anything either. But here's a tiger hug for being my best friend. Not so hard, you big sissy. You squeeze my tears out. Merry Christmas. 
19851226	How long do you think it is till bedtime? Oh, six or seven hours, I imagine. Why do you ask? With any luck, mom will notice we're missing by then.
19851227	Calvin! What are you doing to the coffee table?!? Is this some sort of trick question, or what?
19851228	Hey Calvin, you want to play "house"? I don't know. How do you play? Okay ... first, you come home from work. Then I come home from work. We'll gripe about our jobs, and then we'll argue over whose turn it is to microwave dinner.
19851229	Very grim, Calvin. You're still having oatmeal. Gurgle. Quit playing with your oatmeal and eat it, Calvin. Gagpth! I'm free! Bugh! Yaah! Death to oatmeal! You'll never escape, vile glop! Die! Die! Calvin! Quit! ... oh no ... It's  your fault we didn't have a sweet little girl! Your stupid chromosome!! Not mine!! ... I just live here.
19851230	It says here that by the age of six ... most children have seen a million murders on television. I find that very disturbing! It means I've been watching all the wrong channels.
19851231	I'm not eating this green stuff. Yecchh! Good idea, Calvin. It's a plate of toxic waste that will turn you into a mutant if you eat it. Mmmm. Scrape. Urf. Smack. There has got to be a better way to make him eat! Ahhh ... I can feel it working.
19860101	Dad, how come you live in this house with mom ... instead of an apartment with several scantily clad female roommates? Boy! Ask a simple question, and get all your television privileges revoked.
19860102	Hobbes, have you ever kissed a girl? A few I guess. Really? What was it like? Mmmmmmmm Pop! ... only a lot more so! Gaack! I was hoping it wouldn't be so fuzzy ...
19860103	What do you find attractive in women, Hobbes? Well, I've always been partial to redheads ... with green eyes. I like green eyes ... and whiskers! Long whiskers! Let's change the subject.
19860104	Having transformed myself into a werewolf, I search for human sacrifice! Hi Dad! Mm ... hello. Calvin, stop that disgusting drooling!
19860105	I love winter days. They're so peaceful. Ha ha! Gotcha Susie! Hey, you dummy! You'll never be able to throw a snow ball that big! Ha! Stupid girl! Hey, what are you doing? Get away. Hey! Put me down! Where are you taking me?! Hey! Hey! Chunk.
19860106	All right class, who would like to give his book report first? Calvin, how about you? Calvin? Calvin? Spaceman Spiff cooly draws his death ray blaster ...
19860107	2 + 7 = I cannot answer this question, as it is against my religious principles. It's worth a shot.
19860108	Hobbes, what do you think happens to us when we die? I think we play saxophone for an all-girl cabaret in New Orleans. So you  believe in heaven? Call it what you like.
19860109	We are a fierce and dirty band of cutthroat pirates! Keep a sharp lookout Matey. We want no sissy girls on our ship! We don't like girls? Of course not dummy! We're a murderous bunch of pirates, remember?! Who do we smooch then?
19860110	What did you bring for show and tell Susie? I brought a letter I wrote to our congressman. What did you bring? A bag of dead bugs I collected from our window sills. Best of all, this way mom didn't have to pack me a lunch!
19860111	We'll Hobbes, we did it again. We're separated from the troop and hopelessly lost. Fortunately, our motto is "Be prepared." With this full backpack we can stay out here for weeks! Just so long as we don't get hungry.
19860112	I'm home from school! So I gathered. Hobbes? Yaaaaah! Aaaaugh! Tiger attack! Calvin! Quit crashing around! Hobbes jumped me Mom! I was fighting for my very survival!! Sure Calvin. Look, I don't want to sew Hobbes up again, so why don't you two go do something quiet? Okay, okay ... You sissy. Mom always takes your side! That's because she wanted another tiger, not you!
19860113	Calvin, pass this note to Jessica. It's a secret note, so don't read it. Calvin you stinkhead: I told you not to read this. Susie.
19860114	That dirty Susie Derkins. She'll be sorry if she tries to pass another note. Psst ... Calvin! Pass this secret note to Jessica, okay? Teacher! Susie's passing notes! Take this away and read it in front of the class! "Dear Jessica, you know what I hate about Calvin? He's a squealer! Signed, Susie." I hope you know a good dentist, Susie ...
19860115	Now look! You got us sent to the principal's office! Gosh! Do you think we'll get paddled?? They can't paddle me! I'm a girl!! What's that got to do with it? Girls have more delicate heinies.
19860116	Calvin, I don't want to be spanked! What if it goes on our academic transcripts? We'll be ruined! Sniff. Darn you Calvin!! You're gonna answer to my parents if I can't get my masters degree!
19860117	Calvin and Susie, would you come in my office please? It was all his fault Mr. Spittle! That's a lie! She started it! Are you going to spank us?? I'll never pass notes again! Don't spank us!! Waaahhhh!! I wish we were dead!! I hate this job.
19860118	Now I want you both to pay better attention in class. Understood? Yes sir. Okay, you may return to your room now. Thank you Mr. Spittle. Calvin? You may return to your room. Calvin? The Zorg draws nearer Spiff sets his blaster on "medium well" ...
19860119	It says here that "Religion is the opiate of the masses." ... what do you suppose that means? ... it means Karl Marx hadn't seen anything yet. What are you watching? Garbage. This show would insult a 6-year-old! And I should know. So why watch it? All the other shows are even worse! Why watch TV at all then? There's nothing to do. Nothing to do?! You could read a book! Or write a letter! Or take a walk! When you're old you'll wish you had more than memories of this tripe to look back on. Undoubtedly. 
19860120	... and with that report, we ... click beeeoooop click rats.
19860121	Mom, can I take up the floorboards in my room and make a secret passageway? Of course not, Calvin. Don't be ridiculous. Why can't I? Because you'd come right through the kitchen ceiling. I said don't do it. Okay, okay ... how quietly do you think we can nail these back in?
19860122	What's this disgusting slimy blob? Try it. You'll love it. Oh yeah? Well what if I don't love it?!? Then it will build character. That's my dad. Always looking out for me.
19860123	Calvin! You're going to be late for school! Get up! Calvin, it's almost 7:30! Are you up?? I'm coming. See? I told you it wouldn't work! Of course not, dummy! You didn't put on any pants!
19860124	Do you know where babies come from? Nope. Well, I wonder how one finds out! ... here, let me see the back of your shirt. You came from Taiwan.
19860125	Hey Mom, when's lunch? Later Calvin. I'm busy. But I'm hungry now! I wanna eat! A map to the refrigerator. Hilarious.
19860126	McZargald's ... next exit ... 50 Megazorks. Over 7Million earthlingburgers served." Spaceman Spiff is going down!!! We join our hero as he struggles to land his damaged spacecraft! The altitude flaps refuse to respond, but fearless Spiff is unfazed! Spiff careens through the alien canyon! Is this the end?? No! moments before impact, Spiff ejects! Now are you through charging around the house or are you going to fall down the stairs again? Our hero regains consciousness at the feet of a sarcastic alien ...
19860127	Hi, Dad. It's me Calvin! How's work going? ... uh huh ... pretty day out, isn't it? ... yep ... are you bringing me home any presents tonight? ... no? Well, just thought I'd ask ... listen, I suppose you're wondering why I called ...
19860128	Dad, your polls took a big dive this week. Your "Overall Dad performance" rating was especially low. See? Right about yesterday your popularity went down the tubes. Calvin, you didn't get dessert yesterday because you flooded the house!! I'd suggest a new line of work "Dad" ...
19860129	The giant slimy octopus oozes across the beach. His hideous presence terrorizes the sleepy waterfront community. With a sucker-covered tentacle, he grabs an unsuspecting tourist. A muffled scream lingers in the salty air! Did you want something Calvin?
19860130	Uh-oh. Here comes Moe. The class bully! Okay twinky, let's have that ball. Sure, Moe. All yours. Never argue with a six-year-old who shaves.
19860131	Hey! You took my favorite swing! That's true Moe. How about that? ... uh ... His train of thought is still boarding at the station.
19860201	Moe, I was wondering something. Are you maladjusted antisocial tendencies the product of your berserk pituitary gland! What? Isn't he great folks? Let's give him a big hand. 
19860202	What should we have Dad read us tonight? ... so in the next panel, Supertoad goes "Plooie" and ... "My what big teeth you have! Said little Red Riding Hood. The better to eat you with! Said the wolf ... tiger ... said the tiger, and he pounced on Little Red Riding Hood. Just then a hunter came by, and when he saw the wolf ... tiger ... when he saw the tiger he picked up his gun and ... and? ...and it was too late. The tiger ate them both and he lived happily ever after. The end." Good story Dad! Thanks! Sniff. I always cry at happy endings.
19860203	A bushel is a unit of weight equal to four pecks. What's a peck? A quick smooch. You know, I don't understand math at all.
19860204	Mom, can I have some money so Hobbes and I can go to a movie? What movie? The cuisinart murder of central high. I really think there are more constructive ways you could spend your afternoon Calvin. What did she say? Oh, she went off on one of her irrelevant tangents again.
19860205	Do you believe our destinies are controlled by the stars? No, I think we can do whatever we want with our lives. Not to hear Mom and Dad tell it. 
19860206	Ready? No. Hurry up! Okay, I'm ready!
19860207	I have a question. Do you believe in life after death? You know, reincarnation? You just steer, okay?
19860208	Meed and mild-mannered Calvin ducks into a nearby closet and transforms himself into ... Captain Napalm protector of the American way! Endowed with superhuman powers, he quickly ... Mommmmmmm!
19860209	Man the harpoons! Thar she blows!! Can Hobbes take a bath too? No, Hobbes doesn't need one. Hold still. By golly, what if I drown because nobody was here to rescue me?? Hobbes! C'mere! Mom can't know you're in here, okay? I'll disguise myself with bubbles. Hmm ... you need a hat. Hang on, and I'll get one of Dad's. I like his gray one the best. Maybe you should wear a tie, too. I'll be right back. Better hurry! I think I hear your mom coming! Dear! Why are you taking a bath?!? ... and wearing your best hat!!
19860210	Wake up Calvin. It's time for school. I'm not going to school anymore. You have to. It's the law. What about Hobbes? Why doesn't he have to go to school? He's a tiger. Get up. What's being a tiger got to do with it? Tigers wreck the grade curve.
19860211	Do you think it's better to live in stupefying security ... or take risks and live life on the edge? I think it's better to accept danger and live to the fullest! I take it by your silence that you agree ...
19860212	I'm making Susie Derkins a valentine. She's a cutie, all right. See, I made a big red heart. Now I'm putting lace around it. That's very sweet. I'm sure she'll like it. Susie, I hate you. Drop dead. Calvin.
19860213	I'd like to get a valentine bouquet for a girl I know. What a sweet little boy you are! Come see what we have. Is this all? Did you have something special in mind? Sort of. Do you have a dumpster out back I could root through?
19860214	Calvin, you baloney brain! You sent me a hate-mail valentine and a crummy bunch of dead flowers! So here's a valentine for you, you insensitive clod!! A valentine and flowers! He likes me! She noticed! She likes me!
19860215	No text
19860216	Hey Calvin! Are we near a slaughterhouse, or did you forget your deodorant?! Drop dead Susie! You're so ugly, I hear your mom puts a bag over your head before she kisses you goodnight!! It's shameless the way we flirt. What's it like to fall in love? Well ... say the object of your affection walks by ... yeah? First your heart falls into your stomach and splashes your innards. All the moisture makes you sweat profusely. This condensation shorts the circuits to your brain, and you get all woozy. When your brain burns out altogether, your mouth disengages and you bable like a cretin until she leaves. That's love?!? Medically speaking. Heck, that happened to me once, but I figured it was cooties!!
19860217	Hey, Calvin, it's gonna cost you 50 cents to be my friend today. And what if I don't want to be your friend today? Then the janitor scrapes you off the wall with a spatula. Heck. What's a little extortion among friends?
19860218	I got the new album by Scrambled Debutante. All their songs glorify depraved violence, mindless sex, and the deliberate abuse of dangerous drugs. Your Mom's going to go into conniptions when she sees this lying around. Well I sure didn't buy it for the music ...
19860219	Mom, will you drive me into town? Why should I drive you Calvin? It's a perfect day outside! What do you think people have feet for? To work the gas pedal. 
19860220	Calvin, you're not paying attention again! Spaceman Spiff, conqueror of the cosmos, is trapped by a hideous Zondarg! With lightining speed, Spiff bolts for the air lock, making a daring escape! Nice try Calvin.
19860221	I'm home! Did you feed Hobbes today Mom? No dear, it must have slipped my mind. Thanks Mom. You wanna just douse me in steak sauce before I go to my room? 
19860222	Mommmm! I'm thirsty! What's this? Just water?
19860223	Hey Mom, can I drive now? No. How about now? Oh no! oh you stupid car! What's wrong with you now?!? That's it Mom! Go ahead and swear! We don't mind! Calvin, be quiet! Want Hobbes and me to go get help? You stay where you are. I'll look under the hood. Kick the car Mom! It works on the TV! Look at all these cars going by. Nobody's stopping to help. Let's blow the horn! Maybe someone will come. Beeeep! Hoorayy!! Someone stopped! We're heroes!! Want me to call a tow truck lady? First call the police and report an infanticide.
19860224	I need help on my homework. What's a pronoun? A noun that lost its amateur status. Maybe I can get a point for originality.
19860225	Leave your tiger in the car Calvin. Can't Hobbes come along Dad? He won't eat anybody! No Calvin. Lets go. Well, at least let me open the window and give him some air. See if he'll leave the keys too, so I can listen to the radio.
19860226	Calvin, your mother and I have decided to give you an allowance. It's important that one learns the value of money. Money! Ha ha ha! I'm rich! I'm rich! I can buy off anyone! The world is mine! Power! Friends! Prestige! I blew it again dear!
19860227	When I grow up, I want to be a radical terrorist. Mm hmm ... I'm going to inhale this can of pesticide. Mm hmm ... I'm going to watch TV all night. That's what you think buster! You can never tell if they're listening or not. 
19860228	Here's a good movie! "Vampire Sorority Babes!" It says you have to be eighteen to get in. Heck, that's no problem! Let's go! This is a new one. Two please ... I mean one.
19860301	I think it's time we had a new Dad around here. When does your term of office expire? Sorry Calvin, I was appointed Dad for life. For life?! What about a recall vote? What about impeachment? There are no provisions for either. Did you write this constitution yourself or what? Well, your mom helped some too. 
19860302	Aachoo! Gesundheit! Okay! How many monsters are under my bed tonight? Just one. That's good Hobbes! We outnumber him! Hee hee! Wanna get him? Yeah! See if you can reach the baseball bat! Heh heh! Quit shoving you hogs! Mommmmm! Nice going Maurice.
19860303	You're gonna taste asphalt fifth period Twinky. Just so you know. Great. I'm dead. Fifth period - "Studies in contemporary state-sponsored terrorism." Also known as gym class. 
19860304	I can't get a baby sitter anywhere! What should we do? We won't be gone long couldn't Calvin be left for a couple of hours unsupervised? Ha ha ha ha! Ho ho ho hoo hoo har ha ho. Seriously what should we do?
19860305	Okay Calvin. We'll be back in a couple of hours. You and Hobbes just watch TV and be good okay? Did you hear that? We get to watch TV!! Horray! Videorama? I'd like to rent a VCR and some movies! Ask if they have "Attach of the Coed Cannibals."
19860306	Well, the house is still standing. Calvin must have gone to bed. His light is still on. Calvin? Are you awake? Eep! Did you watch a scary movie?!? No, don't come in. the rug is rigged too.
19860307	Whap! Smash. Tinkle. Ding. Shatter. Clink. Wow. First try!
19860308	Downtown tokyo! Aarrghhgh! Godzilla.
19860309	How can I get some money? Short of earning it I mean. I want a gernade launcher mom. When's Christmas? Not for a long time. When's my birthday? Not for a long time. When's my allowance? You spent it already. Do I have any stocks I can cash? War bonds?? Calvin, I'm trying to work! Can I borrow some soap? Yes, you can borrow some soap. Have all the soap you want. 
19860310	Boy, is it cold! You should get a good fur coat like mine. Woof! What did you eat for breakfast? Cement? Look, was this my idea?
19860311	Oh no, I lost my quarter! Where did you lose it? It's somewhere in this field. We'll never find it. You'll have to wait till the snow melts. Till the snow melts? It's 25 cents!! 
19860312	Wanna see something weird? Watch. You put bread in this slot and push down this lever ... then in a few minutes toast pops up! Wow. Where does the bread go? Beats me. Isn't that weird?
19860313	Who are you today? Fine. I want the top of my head shaved, and the sides dyed pink and cut in horizontal stripes, ok? Ma'am? Give him the usual Pete. Well I guess this guy knows which side his bread is buttered on!
19860314	There, how's that look? That's great. Perfect. Without question, this is the finest haircut I have ever received. Never criticize a guy with a razor ...
19860315	Too bad the world will be ending soon. Beg your pardon? Halley's comet. Comets are harbingers of doom. No they aren't. that's just superstition. Really?? Guess I'd better write that book report.
19860316	Ready? Let me check what the deductible is on my insurance policy ... Munch munch. Would you care for a soft drink? Ok. H-H-here y-you a-a-are! Any desert? No, thanks. We'll be landing shortly. The captain has turned off the seat belt sign. Thank you for choosing Calvin's flight 240 non-stop to Stoney Gulch. Next time I won't take the dinner flight.
19860317	Do you love me dad? Of course I do Calvin. Would you still love me if I did something bad? Well of course I would. I mean something really really ... Calvin, what did you do?!
19860318	Well Dad, your polls are real high this week. I'm glad to hear that. Yep, those polled think you are doing a fine job as a Dad. In fact, with a little push today, your political stock could reach a record high. Nice try. Go help your Mom with the dishes. Ooh Dad! Suicide! Ooh! Ooh!
19860319	Here comes Moe, the class bully. He's not smart but he's streetwise. That means he knows what street he lives on. 
19860320	Toll booth Dad! You can't put the car in until you pay me a quarter! Why should I pay you to put my car in my garage? Because if you don't I'll pull the door down on the hood as you drive in! What a cheapskate.
19860321	A little lower ... ok, fine! Thanks for helping me put up this swing. Where did you ever find this great tire? Calvin! I've got to go to work!!
19860322	What's that cereal you're eating? It's my new favorite, "Chocolate Frosted Sugar Bombs." Have a taste. Thank you. Mffpbth!! S-sw-sw sweet!! Actually they're kinda bland till you scoop sugar on 'em.
19860323	How come we play war and not peace? Too few role models. I'll be the fearless American defender of liberty and democracy ... and you can be the loathsome godless communist oppressor. We're at war, so if you get hit with a  dart, you're dead and the other side wins, ok? Gotcha. Go! Wap Wap Kind of a stupid game, isn't it?
19860324	Can I be excused? Not until you finish your salmon. Blaughhh! Can I eat it upstairs while I do my homework? Well, I suppose. I brought you your favorite! How's it coming? Well, I couldn't figure out this subtraction problem, so I put "Atlanta, Georgia" ...
19860325	Hey, Susie, wanna see a magic trick? First, I'll need a ordinary quarter ... Now I'll disappear! Ha ha ha! Hey! Didn't I say it was a trick??
19860326	Look! A decoder ring! Wow! We can send each other secret messages in code! Ha ha! Now Mom and Dad won't be able to understand us at all! ... not that they do anyway ...
19860327	Rise and shine Calvin! Mfgpbthbbpt The early bird gets the worm! Big incentive.
19860328	I've decided we should be "cooler" than we are. We're not cool? Sure we're cool. But we're not as cool as we could be. Cool people wear dark glasses! It's cool to bump into things? You don't move, just hang around. 
19860329	Hey Dad, will you buy me a flame thrower? Of course not. Don't be silly. Even if I didn't use it in the house?
19860330	Did you ask your Mom if you could jump off the roof? Questions I know the answers to I don't need to ask right? Is this blanket big enough? Perfect! See, I'll just grab all the corners and make a parachute! You can watch as I float to the ground, gently as a leaf. Geronimo!! Crunch! His Mom's going to have a fit about those rose bushes. 
19860331	I told you I'm not sick! What's that? Will it hurt? It's a tongue depressor. It won't hurt at all. What's that? Will it hurt? It's a stethoscope. It won't hurt at all. What's that? Will it hurt? It's a cattle prod. It hurts a little less than a branding iron. Little kids have no sense of humor.
19860401	Hey Doc, why are you rubbing my arm with cotton? Are you going to put a leech there? Are you going to bleed me? You're not going to amputate, are you? Are you?? What's that? Is that a shot? Are you going to ... Aaughh! It went clear through my arm!! Ow ow ow ow!!! I'm dying! I hope you've paid your malpractice insurance, you quack!! Where's my mom??!
19860402	Safari Al hacks his way through the jungle! Suddenly, a giant gorilla rips through the foliage! Clean your room. What? You heard me. It's a jungle in here!
19860403	Seen any UFOs yet? Nope. Keep watching the moon. Aliens usually try to sneak up from behind it. What are you doing out here in your pajamas? Get back in bed!! Mothers on the other hand, sneak up from behind the Pachysandra patch.
19860404	I don't think I'll go to school today. I think you will. I think I won't. Rats.
19860405	Good night, Hobbes. Good night. Do you believe in ghosts? 
19860406	What do you have for lunch Susie? Maybe I'll trade you. Ugh! A cross section of a dachshund. No, thanks. It's bologna! I wonder what I have for lunch today. Its lunch time! Ha ha ha! I think I'll have this little kid!! Help! I'm being eaten alive by my own lunch! Somebody get me a fork! He's got me!! Aaarrrgghh! Wham wham wham! Ha! I killed it with my thermos! See? It's bleeding jelly! No wonder this seat wasn't taken.
19860407	Somewhere in communist Russia I'll bet there's a little boy who has never known anything but censorship and oppression. But maybe he's heard about America, and he dreams of living in this land of freedom and opportunity! Someday, I'd like to meet that little boy ... and tell him the awful truth about this place!! Calvin, be quiet and eat the stupid lima beans.
19860408	Whenever I take my bath ... I always put my ducky in first. For companionship? To test for sharks.
19860409	My secret ancient treasure map says to dig here! Look! A wallet full of money! Right where you said! It's Dad's. I buried it here last week.
19860410	Spaceman Spiff, bold interplanetary explorer, spies on a Zarg! Spiff calibrates his blaster. Ready ... aim ... Calvin, if you shoot that paper clip at me, I'll get your bottom hauled to the principal's office so fast you'll think you were in a time warp!! Confound it. The blaster jammed.
19860411	It looks like Hobbes burst a seam here. I'll get my sewing kit. It's just a little cut. I don't need an operation. This is unnecessary surgery! It's not surgery, you're just getting a couple of stiches! What's the big deal? Your mom never uses any anesthetic. 
19860412	What a peculiar dream I had last night! I dreamed I was in a big fight with a ferocious weasel! What do you suppose it means? It means you're sleeping on the floor tonight, you nincompoop!
19860413	Hey Dad, remember our car? Why sure. Wait a minute. What do you mean, "Remember"? Hobbes, I have a conjectural moral question. Maybe you can help. Sure. Suppose I did something bad. Should I tell Dad? How bad are we supposing? Well, hypothetically, let's say pretty bad. Like to his car hypothetically. How bad, hypothetically, to his car? Well, let's pretend it was real bad. Should we pretend it could be fixed? If we imagined he could find the car, we could pretend it might be fixed. I see. You can keep the book. I'll call the bus station. "Que pasa, senorita? I am el fugitivo!"
19860414	Why can't I stay up late? You guys can! It's not fair! The world isn't fair Calvin. I know, but why isn't it ever unfair in my favor?
19860415	The valiant Spaceman Spiff is being pursued by a disgusting scum being! Spiff spots his hovering spaceship and bolts for the ladder! But he's too late! The awful scum being is upon him! It's all over! It's all over!! I told you three times recess was over! Now get inside!
19860416	As dictator, I have the sole voice in government! I will not tolerate dissent! I alone shall decide the good! I alone shall ... time for bed, Calvin. Couldn't we vote on this?
19860417	If you could wish for anything, what would it be? A big sunny field to be in. A stupid field?! You've got that now! Think big! Riches! Power! Pretend you could have anything! Actually, it's hard to argue with someone who looks so happy. 
19860418	Here fish! They must know that one.
19860419	Aaghh! Chomp! Are the fish biting? Drop dead, Hobbes.
19860420	Oops! I forgot to read chapter five for school tomorrow. What are you going to do? Catch a quick cold. Cough cough. You sound terrible, Calvin. I'll get you some cough medicine. It wasn't me coughing. It was Hobbes. Me? It wasn't me! I know, but that cough syrup tastes awful. So you're going to have me take it? Nothing doing, buster. I refuse! Here you go Calvin. Open up. Not me! Give it to Hobbes! He's the one who ... Gloomp Ackthp! Pbthbbppth!! Hack Hack. Mmm! That cough medicine is good! You should try some! Really! You're not fooling me one bit, you stinker.
